Team,Total,Rules,Fouls,Fair,Attitude,Comm.
Temper,13.14,2.43,2.71,2.71,2.71,2.57
Madison Club,11.43,2.14,2.14,2.14,2.57,2.43
Furious George,11,2,2.14,2.14,2.71,2
Truck Stop,11,2.14,2,2.43,2.14,2.29
DiG,10.33,2,2,2.33,2,2
Revolver,10.2,2,1.8,2.4,2,2
Johnny Bravo,10.14,2.14,2.14,2,2.14,1.71
Machine,10,1.86,1.86,2,2.14,2.14
Ring of Fire,9.8,1.8,1.6,1.8,2.4,2.2
High Five,9.43,1.43,1.86,2,2,2.14
Sub Zero,9,1.86,1.86,2,1.43,1.86
Chain Lightning,8.86,1.43,1.71,1.57,1.71,2.43
Rhino Slam,8.86,1.86,1.29,2,2,1.71
PoNY,8.6,2.2,1.6,1.2,1.8,1.8
Doublewide,8.57,1.57,1.14,1.86,2,2
Sockeye,8.4,2.2,1,1.8,1.4,2
