Team,Total,Rules,Fouls,Fair,Attitude,Comm.
Wildfire,11.29,1.86,1.43,2.14,2.86,3
Fury,11.2,2.2,1.6,2.6,2.6,2.2
Nightlock,11,2,2,2.14,2.57,2.29
Molly Brown,10.6,1.8,2.2,2,2.6,2
Nemesis,10.57,2,1.86,2.29,2.14,2.29
Ozone,10.57,2,2,1.71,2.43,2.43
Traffic,10.57,2,2,2.29,2.14,2.14
6ixers,10.43,1.86,1.86,2.43,2.43,1.86
Heist,10.14,2,1.86,2.14,2.29,1.86
Phoenix,10.14,2,1.86,1.86,2.43,2
Rival,10,2,1.86,1.86,2.14,2.14
Pop,9.86,1.71,2,2.14,2.14,1.86
Brute Squad,9.6,2,1.6,2,2,2
Scandal,9.43,1.86,1.71,1.86,2,2
Schwa,9.29,1.71,1.43,1.86,2,2.29
Riot,8.8,1.6,1.8,1.6,1.8,2
