Team,Spirit: Rules,Spirit: Fouls,Spirit: Fair,Spirit: Attitude,Spirit: Comm.,Spirit: Total
Temper,2.43,2.71,2.71,2.71,2.57,13.14
Madison Club,2.14,2.14,2.14,2.57,2.43,11.43
Furious George,2,2.14,2.14,2.71,2,11
Truck Stop,2.14,2,2.43,2.14,2.29,11
DiG,2,2,2.33,2,2,10.33
Revolver,2,1.8,2.4,2,2,10.2
Johnny Bravo,2.14,2.14,2,2.14,1.71,10.14
Machine,1.86,1.86,2,2.14,2.14,10
Ring of Fire,1.8,1.6,1.8,2.4,2.2,9.8
High Five,1.43,1.86,2,2,2.14,9.43
Sub Zero,1.86,1.86,2,1.43,1.86,9
Chain Lightning,1.43,1.71,1.57,1.71,2.43,8.86
Rhino Slam,1.86,1.29,2,2,1.71,8.86
PoNY,2.2,1.6,1.2,1.8,1.8,8.6
Doublewide,1.57,1.14,1.86,2,2,8.57
Sockeye,2.2,1,1.8,1.4,2,8.4
