Team,Spirit: Rules,Spirit: Fouls,Spirit: Fair,Spirit: Attitude,Spirit: Comm.,Spirit: Total
Columbus Cocktails,2,2.43,2.57,2.57,2.71,12.29
Jughandle,2,2.14,2.57,2.71,2.43,11.86
Seattle Mixtape,2.5,2.17,2.33,2.33,2.5,11.83
BFG,1.86,2.29,2.43,2.43,2.57,11.57
Polar Bears,2.29,2.14,2.29,2.43,2.43,11.57
Slow White,2.14,2.14,2.29,2.43,2.43,11.43
Drag'n Thrust,2.17,2,2.17,2.33,2.67,11.33
AMP,2,2.17,2,2.5,2.33,11
No Touching!,2,2.14,2.14,2.43,2.29,11
Mischief,1.86,1.86,2.29,2.29,2.29,10.57
shame.,1.86,2,2,2.43,2.14,10.43
Space Heater,2,1.8,2.2,2,2,10
Blackbird,2,1.5,2,2,2.33,9.83
XIST,1.86,1.57,2.14,2,1.86,9.43
Toro,1.71,1.43,1.86,2.14,2.14,9.29
Snake Country,1.8,1.6,1.6,2.2,1.6,8.8
