Team,Spirit: Rules,Spirit: Fouls,Spirit: Fair,Spirit: Attitude,Spirit: Comm.,Spirit: Total
Wildfire,1.86,1.43,2.14,2.86,3,11.29
Fury,2.2,1.6,2.6,2.6,2.2,11.2
Nightlock,2,2,2.14,2.57,2.29,11
Molly Brown,1.8,2.2,2,2.6,2,10.6
Nemesis,2,1.86,2.29,2.14,2.29,10.57
Ozone,2,2,1.71,2.43,2.43,10.57
Traffic,2,2,2.29,2.14,2.14,10.57
6ixers,1.86,1.86,2.43,2.43,1.86,10.43
Heist,2,1.86,2.14,2.29,1.86,10.14
Phoenix,2,1.86,1.86,2.43,2,10.14
Rival,2,1.86,1.86,2.14,2.14,10
Pop,1.71,2,2.14,2.14,1.86,9.86
Brute Squad,2,1.6,2,2,2,9.6
Scandal,1.86,1.71,1.86,2,2,9.43
Schwa,1.71,1.43,1.86,2,2.29,9.29
Riot,1.6,1.8,1.6,1.8,2,8.8
